Z,N,Mass Excess [MeV],Error,Estimated
27,48,-29.649,0.5,1
27,49,-24.51,0.6,1
27,50,-21.015,0.6,1
28,20,16.793,0.502,1
28,21,8.2,0.6,1
28,22,-4.12,0.5,1
28,23,-11.9,0.5,1
28,24,-22.33,0.4,1
28,25,-29.630824,0.02515,0
28,26,-39.278308,0.004657,0
28,27,-45.335849,0.000719,0
28,28,-53.907539,0.000422,0
28,29,-56.083833,0.000582,0
28,30,-60.228744,0.000373,0
28,31,-61.156707,0.000374,0
28,32,-64.473118,0.000376,0
28,33,-64.221905,0.000378,0
28,34,-66.746323,0.000439,0
28,35,-65.512775,0.00044,0
28,36,-67.098921,0.000475,0
28,37,-65.125685,0.000495,0
28,38,-66.006285,0.001397,0
28,39,-63.74268,0.002888,0
28,40,-63.463814,0.002981,0
28,41,-59.978648,0.003726,0
28,42,-59.21386,0.002144,0
28,43,-55.406228,0.002237,0
28,44,-54.22606,0.002237,0
28,45,-50.108152,0.002423,0
28,46,-48.456,0.196,1
28,47,-44.03,0.3,1
28,48,-41.63,0.4,1
28,49,-36.8,0.5,1
28,50,-33.89,0.6,1
28,51,-27.57,0.6,1
28,52,-22.63,0.7,1
29,23,-2.28,0.6,1
29,24,-13.27,0.5,1
29,25,-21.41,0.4,1
29,26,-31.635399,0.155559,0
29,27,-38.643029,0.014904,0
29,28,-47.308886,0.000519,0
29,29,-51.667725,0.000578,0
29,30,-56.358327,0.000544,0
29,31,-58.345137,0.001618,0
29,32,-61.984059,0.000953,0
29,33,-62.787426,0.000647,0
29,34,-65.579752,0.00044,0
29,35,-65.424545,0.000448,0
29,36,-67.26366,0.00065,0
29,37,-66.258272,0.000655,0
29,38,-67.319513,0.000894,0
29,39,-65.567035,0.001584,0
29,40,-65.736213,0.001397,0
29,41,-62.976373,0.001082,0
29,42,-62.711127,0.00149,0
29,43,-59.782999,0.001397,0
29,44,-58.987437,0.001942,0
29,45,-56.006205,0.006148,0
29,46,-54.471341,0.00233,0
29,47,-50.975985,0.006707,0
29,48,-48.624,0.149,1
29,49,-44.497469,0.503007,0
29,50,-41.74,0.3,1
29,51,-36.2,0.4,1
29,52,-31.42,0.5,1
29,53,-25.32,0.6,1
30,24,-6.272,0.4,1
30,25,-14.57,0.4,1
30,26,-25.39,0.4,1
30,27,-32.55,0.2,1
30,28,-42.298744,0.050001,0
30,29,-47.215551,0.000771,0
30,30,-54.17434,0.000564,0
30,31,-56.348903,0.015899,0
30,32,-61.167972,0.000625,0
30,33,-62.213397,0.001561,0
30,34,-66.004014,0.000647,0
30,35,-65.912019,0.00065,0
30,36,-68.89916,0.000749,0
30,37,-67.880313,0.00076,0
30,38,-70.007092,0.000784,0
30,39,-68.417845,0.0008,0
30,40,-69.564735,0.001918,0
30,41,-67.328777,0.002654,0
30,42,-68.145486,0.002142,0
30,43,-65.593402,0.001863,0
30,44,-65.756712,0.002515,0
