N,Z,D to use,,,,,,,,,,,,,,,,,,,
32,23,-49151.5,,,,,,,,,,,,,,,,,,,
31,24,-55107.5,,,,,,,,,,,,,,,,,,,
30,25,-57710.6,,,,,,,,,,,,,,,,,,,
29,26,-57479.4,,,,,,,,,,,,,,,,,,,
28,27,-54027.6,,,,,,,,,,,,,,,,,,,
27,28,-45335.6,,,,,,,,,,,,,,,,,,,
26,29,-31624,,,,,,,,,,,,,,,,,,,
25,30,-14923,,,,,,,,,,,,,,,,,,,
36,20,-13441,,,,,,,,,,,,,,,,,,,
35,21,-25271,,,,,,,,,,,,,,,,,,,
34,22,-38936.8,,,,,,,,,,,,,,,,,,,
33,23,-46080.1,,,,,,,,,,,,,,,,,,,
32,24,-55281.2,,,,,,,,,,,,,,,,,,,
31,25,-56909.7,,,,,,,,,,,,,,,,,,,
30,26,-60605.4,,,,,,,,,,,,,,,,,,,
29,27,-56039.4,,,,,,,,,,,,,,,,,,,
28,28,-53903.7,,,,,,,,,,,,,,,,,,,
27,29,-38601,,,,,,,,,,,,,,,,,,,
